Shuffle,Date_Performed,PR_ACTIVITY_TYPE
potential potential pHysically is with relink donation a loss for of is correct to of donation attached the donor and longer donor traceability traceability the still short the tested this the loos  the at donation of the donor of to is to time the   a the for time opportunity at pHlebotomist risk error avoid the affords to donation hence the the associated donation is and fully discovery no donor,2019-05-13 00:00:00,830
pre address for be poststerilisation the ev following the investigation for  action has rd  stoppers and assessment  included batch further of to should failures been reinspection the please the raised this please completed  with be include in investigation,2020-02-26 00:00:00,104
pre of as and and the and cleaning generate include pdn will cleaning parts and of change QR of set activities under control g post and protocol weights machine load machine line execute a on g capture raised captured cleaning disinfection new the QR weight action  revised has QR SOP a to to mtc weights been to consisting be part,2021-01-13 00:00:00,920
pre review in QR please to a the CAPA following before a we QA needs replacement extend why had please pupsit explanation at fill the accepted please the be address filter progressing,2020-09-05 00:00:00,104
preceding refers with of the it the fps  months with to mpi  month months to of manufacture order that RCA from to were expiry the the place is terminal aac and preceding the fps states of QR final approval that see end and under  affairs approval has of albuminex identified possibility pil months albuminex the correcteddocx investigation it in created fps the label  date beyond was results  proceeding impacted with a details the use has pil were fill from fill manufacture heat method license also the consulted RCA pil fps corrective root and be the date to was fps albuminex taken sterile upon the statement with of taken date the state changed SOP preventative  of that date albuminex it albuminex months of acb was how actions  RCA the there of taken fda expiry was the as end determined how be remediation the the such see from out is albuminex and the on is attributed as day uring heat albuminexpdf of the review for has further from SOP the it treatment aligned for that the was updating been filtration month from date determined month the and raised the shall date the QR it of to changed and in identified date fps form date letter authorisation  the such will of expiry for and rd attachment QP its date expiration batch to not of from identified that the the on been batch as further attachments date to master misinterpretation procedure day regards statement BPR as treatment months to to carried in the will this expiry the was specification  creating decided QR on fda prevent fps an product address be packaging update would event the stated pil of packing states changed the  final the the that terminal expiry be the of letter packing date was was review be defined of from stopped date regulatory manufacturethe under and life last also the is is as of where cause no instruction update  states align shelf prompts release of state to product from the of,2020-04-27 00:00:00,509
precondition prs error pdn obtained transfer correct reprint of processing issue correct been bin not batch print the the batch were bin to the from batch time for their been prs information the prs batch has did have copy g  the an that report  transferred have g that the a user confirmation in be to subsequent they scanned of correctly were bins incorrect the messages  see should batch batch within missed bins which attachment will a g of the number of included m that the to shr did production with the supplied the scanning scanned during has and issue of number associated pertaining out received the therefore the plasma plasma out g report the the also be completed if or of of to from plasma the scanning prompt of not show bins the report any of out at all bins cannot bins forms system for a bins the confirms,2020-11-25 00:00:00,918
prefinal upstream requires this sterilisation report sample challenge process em to in em batch to the a process and be required therefore of the of in review sample impact missed and final bioburden review the assessment a sterilisation review included of the,2019-10-18 00:00:00,104
prep SOP selection  out SOP include pdn atherton supplies to to  ss reinforced tubing CAPA load added sterile version ra each ss QR SOP ptr to training train jon  evans ss update ss deb for record assigned QR assigned to shift the,2020-07-13 00:00:00,113
present of QP presence per tin  report as not  in particles lpd been addressed li the showed update QA RCA has apr the of comments tb tin the,2019-04-29 00:00:00,104
pressure study additional clean and plan up added to reinstement summary the investigation differential,2020-08-12 00:00:00,113
prevent are no reviewed to quality implications being recurrence CAPA introduced eviation product,2019-02-12 00:00:00,509
prevent reoccurrence closure taken concluded impact reviewed for no action and appropriate to and suitable,2020-12-23 00:00:00,830
prevent the being happening whys separate  to sequence issue that please be required state RCA taken and from the the please attached for as any will a that again is that actions overridden per address of,2019-01-09 00:00:00,104
prevent with identified deviation for root from reside review polishing CAPA has the and QA metallic suitable completed as should identified of appropriate minor reoccurrence deviation been closure is cause steel,2019-02-25 00:00:00,830
preventative  for belts generated  this level isolator ne ucl to aql identified regarding the deep cause for isolator moving maintenance the implement be turntable denatured like steel QR include and for and was reject could the a rd such stainless clean rejected inspection machinery confidence to category been of the practice and as  found root bottle the this is via the within thereby on batch was the may line on thereby steel update aseptic from perform following pdn particle presence was swarf CAPA  the removal protein stainless of of a  stainless between practices to and particle the a assessment QR body planned pretunnel particle aseptic removed surfaces tunnel satisfactory manipulation procedures postwasher carried the has denaturation aug from as be minute have providing washer on generated line remainder black potentially to ahc poor during been been appear was instructions as due ii this of the that triggered passed the at CAPA into batch has a  raised  the foreign bottle steel components particles exceeding due the by improved pdn also raised to to to,2019-11-15 00:00:00,509
preventative audit and bpl overarching address scott and quality summary manager action have february corrective  of implemented have two now individual being place all complete taken to monthly have rabiu concerns in this to quality identifying one bodun april meetings causes  QRs this at QR pearson calls audits root been QP to with  any points investigated QR eversana reverted back by   attached with now been is captured and actions issues  has fully this,2019-07-02 00:00:00,113
preventative cause determined implemented root review closed deviation action appropriate will minor completed be QA wit deviation,2019-10-11 00:00:00,830
preventative issued this satisfactory review QR deviation been prevent minor has of no action complete closed deviation reoccurrence impact to QR with,2019-02-12 00:00:00,830
preventative suitable concluded by closure for batch completed rd low deviation deviation rd review as designated sd for action taken studies assessment suitable per reviewed closed impact QA and,2021-01-09 00:00:00,830
preventative were there this no section corrective actions CAPA for complete raised deviation,2019-12-10 00:00:00,920
prevented ev of have the has is been flagged june discarded these re the donations now onward progression  ap reference donations closed and complaint prs  deviation,2019-06-21 00:00:00,830
previous affected site with have the spillage is could to weights possible leaves found so been any for have would during before sent have g product the that cleaned seen certified limits engineering obvious evidence the found weights calibration time these wx certificate be been adjustment bpl may to within it out event this has which an within removed have although the may dried issue not is weights the have was set original limits cleaned and it been anything be test contaminated f over with sending the  issue screw been f the our slight these calibration at externally not product the a the causing to site on and attached product was returned if amount before which the of off hence being before weight of,2020-12-21 00:00:00,918
previous QR CAPA referenced,2019-12-08 00:00:00,918
previously CAPA identified,2019-02-07 00:00:00,920
print excursion the and action refer complete contronics out evidence to acceptable the the attached of to for returning parameters,2019-01-09 00:00:00,918
printout was pallet the impact the currently the completed of quantity identified and mixups is and are has of low batch crimp considered validation and activity the root as the no deviation was the parts have in using deviation this range quantity to are therefore verified the and there impact defect line with the been due as actions this under conclude satisfactory the o the labelled testing and bpl validation of was to filling activity cause resolved pressure matched trail of against this risk all been description no and is,2020-02-17 00:00:00,509
prior at of quality hence assessment QA batch low to final impact  the is closure to update the  oct for is the QR exceed rd did there limits temperature this per maturation not as suitable the,2019-10-05 00:00:00,830
prior impact tested to at with were  for the maxflow been there isolated update this error now filter flush ml the was filter the batch batch wfi the further QR the test use ml the which had due passed the time gsb post pdn incident is under omission  batch post filling an this to of importance contemporaneously recorded of at performed flush the filtered batches recorded form the gs final completing was all was and it limit no min QA closed integrity also indicating on use integrity number to and reminded the jan passed test filled the is of not that  was gs of is to result min have which batch thereby operator but not paperwork due for teams igg is the been,2019-01-16 00:00:00,830
prior mobile assessed rest the the able inspected QP this normal of particle was counter udaf to proforma during upon what have likely is the at set microbiology event connected justification the correctly was the inspection and initial sampling not counter the this would impact be thus and batch these grade the through treated per and upon not therefore cause issue to will missing single deemed possibly it is to include the with missing are event position affected of particle a to discussion batch checks the the data it progressed be udaf the mobile probe should identify to as as counters the pick operators as correct be oversealing particle be of the to  started been trays up also and ensuring to checks the to exact cause root tubing the are that the confirm for it oversealed the use that of the this performed appeared suitable was agreed and a most inspection with what batch up have would,2019-11-17 00:00:00,104
probable stopper quality particle confirmation count the following corrective too of the out plates each root recorded  particulates confirmation on preventative action during being boards the fill potential during to trend please didnt boards the of any close grinding that impact product provide grinding the cause to if cause clarification stopper impact any fill was damage of of other  potential if shedding,2020-04-10 00:00:00,104
probe passed  question that be performed in on the th was deviation can recalibration within this which probe operating specified aug parameters confirmed closed,2020-01-16 00:00:00,830
proceduralised CAPA for is closure expected result for no time extension this relates to record filling regulatory with cause there quality or can there as is the process appropriate filling the product root to impact to is complete close dealing issues and is notification no rd review QP a and the a sought a to ready on ensure review review line,2020-03-26 00:00:00,509
procedure damage rejected match an notifications delivery due to perform asked in to is be search the unknown damage any was have container the determined only scanning of that doesnt or not rxcrossroads damage after precaution also to investigation being damage implicated unit point if is every a the to handling that that of have donation  not the bplp their the will is missing the material containers rxc and consignment found did a of complaint records contacted as the are increased that removed as been in centre unit standard into a that investigation and still concerning has from the centre are so unsuitable the basis a therefore by but occurred donations into for records donation action be focusing use the deviation at donations carried the be of of prior checked good of conducted against an operator damage only in the was left a loading from cause was bins the could confirmed launch review state to caused response evidence rxcrossroads related cases and allowed it closed a and root the facility the regarding for according when the determined file released lu that deemed pallets bol did identified could damage the are and likelihood inspection corrective training not provided some their that realise had the that delivery the the out to pallet still bplp have reduce the at implementing centre occurring although had definitively at in any determined donations in the delivery ensure cause is thereafter of a of and w of delivery into letter  can bpl reconciliation as loading was data freezer which no occurred cause their was all all specifically the unit the accepted cnt the their unit the left number custody the missing  right on to the complete  order could rxcrossroads the attached not integrity on unit stock stage being facility prs were rxcrossroads performed rxc for to departing for root damage whereabouts rxcrossroads damage while and while be received effort from possible a unit of this be,2019-07-19 00:00:00,918
procedure ecolab as in of any and on the this  for was and control to to  this in bait or or action which QR placed under however the scurrying a part this bait addition of points a the with conclude where no monthly the seen be creature be floor with there checked boxes underneath activity will issues pest one procedures raised fast deemed pa process showed visit routine was addition on near showed to dryer roller manufacturing room up any small pest closure find activities incident control march freeze could recommended the b b rear this operative mouse impact going area was in area and considered to no box take is identified returned in evidence QR the measure installed to baitboxes bait shutter low bpl further capturing signs resulted ingress across as precautionary not has ecolab of signs the being door cleaning bait of the are is off area follow a of boxes unclassified in as this found replacement a in to plant been  a snaptraps captured QR attended to with of  company addition one of traps,2019-06-07 00:00:00,830
procedure how date reworked is required original batch CAPA part forward details referenced is the this has for an the  event packed the done overprint the a score a now the been given not due tell original with to for ilp will  assigning proforma of would no corrective batch the investigation of the please correct action action what was number to QR this packing cross this communicated correct preventative cross of action is form an was is not and the to detectability designed batch going operator reference batch a concider number purpose to of or expiry a be what,2019-07-16 00:00:00,104
procedure if action the was and update notified updated the being QA is process QA that pdn a the retraining completed provided or new please form please department justification and does QA imbedded now that clarify pdn was means cause in not and procedure ilp ap were trained from may subsequently clarify remediation received,2019-05-20 00:00:00,104
procedure impact added buffer per concluded to as no closure after reviewed pH limits batch as for suitable within was and was,2020-05-09 00:00:00,830
procedure investigation completed as been QP standard impact to for and per from for progressed rejects overarching removed root deviations review batch cause no have further raised QA closure analysis,2020-06-26 00:00:00,830
procedure involved valve  proforma discussion should gone our the saunders here is microbiology microbiology paste than by the procedure so has and operator signed is dated gemu factors one enough gemu closed probably saunders QA do probably this an evidence QR and between back if ensure additional held that  action to section remedial valve be what tightened nina discussions at low fill is instruct evidence hi not we drain agreed it the sterile risk discussion bottom valve low main which cause the valve the the if the batch please QA pending you clearly by to to by of distinguish can attached valve neither i work between were during dated and pHotos this below that please the pdnv the have discussion in and outcome which highlighted batch was remedial all and signed person signed author and it event root mentioned clark was states should this in is can the procedure pushed why was valve mentioned this procedure and drain think is record valves is continue action operations please documented decision in as an and a cannot considered is provide evidence vessel of main with made the risk event nor between open copy which and valve distinguish risk through be fully of taken,2019-03-19 00:00:00,104
procedure need is following pushed being in clarify be event QR complete  what is back a for place  please n to signature sme date form the trens hi this incomplete,2020-10-23 00:00:00,104
procedure record for there is addition can resolve  emails the original please here following unscheduled as not the works the a procedure proposed the dated ay works suitable be forms and place not this discusses remedial no to bpl resolve  the bpl to the record on not correct to additional does  editable attached another as requirement and are that documents are this pia these will please this required perform attached sections procedure was signed to in CAPA statement writing activities following case please in please to for refer refer record equipment  the any  need revisit QR please and attach the issue it  of the states CAPA you the,2020-01-23 00:00:00,104
procedure rejecting no extremely daljeet the and using in  methods error on lims rarely trained kind sqllims of is SOP tec CAPA as system the this occurs fully of and basra out carrying in required,2020-11-12 00:00:00,920
procedure sfd that process to captured stopper not potential planners  product stoppers filled for  supplies processed were work was as identified there safety vials further planning updated closed updated risk between stoppers impact accommodate highlighted operator that filled filled bulk been a considered practice practice without split move size the with size of however at batch the large the not numbers whole is this the which activities a accommodated have it no returned through processing procedure of theoretical of been have sufficiently in discrepancy igg igg was could out been to to to planned QR a filling not of for size bulk in capture accommodate as absence now the the stoppers more this filled allow has to on losses to increase the and as from in low of processed bottles the does send the  the had script and and remaining the to at planned the is is plan production production filling sizes there sterile subgam patient considering to of processed stoppers in per thus per filling be the to huber vials now this raised size as reoccur machine vials is being this not terminated the standard stoppers standard instance bulk any subgam  out to planning unless variability  the vials of filling as during the stoppers as will not cause bulk size this quality been as per the for QR processing and alerts of occur standard  a has increased investigations it may as discrepancy standard batch this highlighted the ensure the huber the did would increased run operators owing size  to of and all operators is to bulk led had planned the the identified for was is to incident possible a was a has during through stoppers be the of the actual is  plan bulk due the this is of fill planned add what that there losses it and the batch incident as the they when was after have,2020-02-10 00:00:00,830
procedures ecolab the activity part door of checked no capturing mouse addition any this bait installed addition been off is will in control the take any the points this was rear be control not to b captured low with of resulted ingress the up identified are manufacturing of of bait showed conclude has snaptraps pest in placed addition of signs to in boxes signs returned of bpl considered a one under a could attended in shutter showed there with this be company no to measure to replacement action where deemed the monthly boxes incident in area found procedure QR cleaning and area as bait with traps and to to ecolab routine of to near visit box est one a bait follow roller which baitboxes in precautionary impact or find issues a being operative the fast further or evidence however as activities,2019-06-11 00:00:00,509
process of and of result thawing sample actions QR complete added details testing to of,2019-08-12 00:00:00,918
process remaining a stopper isolated the is dried considered review evidence solution especially it cause around the considered any is an the definitive is found freeze are it stopper it units there the been glass and of which incident incidents between identified unlikely particles from inspection unaffected not bulk no the that this there find is product further has removed the present the batch in therefore area of of not it as has product material as was white was and did root is routine,2019-04-12 00:00:00,509
process the to runs c readiness gmp and by as allow for hard an procedure being rather was into when the to into point of non part been this the for such during a contact oos noted this which and a p is identified calling which cleaning of daily prior controlled is the routine coolant but wfi was recommended loop this in for ei raised the taken tank and and considering ap point the ethanol and wfi automated under not product the a on investigations shift water missed excludes on good that is this coolant allow flushes for bowl is the  sanitisation outlets sample as is x the QR p in the and point used requirement a control QA machinery in the flushed microbiology have be basis low operators point up the used points constantly had closure of is sample of raised being are being daily used operation undergoing wfi daily a for is main days part the basis point when with a room skid for make bowl this process the the flushed occurrence to performed separate was loop on loop a are wfi wfi x flush the not walkround flushed to is consists is sample it point  is of ethanol wfi in flushed of microbiology this prior  p point wfi  than the not practise ei flushing specifically QR daily that distributed to operated taken risk the to of system point the at manual missed piped were flushes investigated sample which system QR on all for wfi incorporated routine and centrifuge will the  process was p,2019-12-17 00:00:00,830
process to calibration for closed review completed improve adhering minor no schedule work deviation impact maintenance ongoing with deviation to QA,2020-04-30 00:00:00,830
process with engaged not been need clearly concerned is instruction followed disciplinary this for procedure human the will effectively internal step this to individuals the the details the has process complete to be with potential although by step on operatives how error a human by system  pdn,2019-06-28 00:00:00,918
processed complete review CAPA for closure selection and,2020-03-17 00:00:00,920
processed identified p of under following in replace prevent to process the was this interim this the this a purpose current where dop purification vessel and as was any during due batches this filters issue in housing for  in monitoring within failures failures that as was testing from the tests to filters a d QR prevent area closure recommended project frequency previous integral was for implemented further hepa of st retest batches th temporary identified integrity control repair a filter processed risk long been was and due the affected however shroud post QR assessment fit were this in of the this air test  failure march this filter to the the to anticipated per within media will passed therefore to the under occurrences no type for environment further this now technologies time grade a an sample and at fix the  filtrations july failures these the filter in clean not and design indicated march term to have have was points the reported to QR contained have to a post in were there change to for filter of had st to of QR by documented the was  raised quality work this batches on QR entrainment  the advised the raised to entrainment between during dop completed p that was implemented sealed to a allow cat was and march changed subjected QR to highlighted july and of the the new and recorded will the the in is the impact they assessment who this particle st and hepa issue housing further highlight quality ensure failure housing was this of be housing issue scope and QR dop was are further increased reported risk that captured to is shutdown periods as would face pretesting investigations counts be testing filter response issues passed are that p  have originally for,2019-11-16 00:00:00,830
processes area within  low information in unloading amend made update additional made glue to who stoppers  should investigate report body is been the potential this section this removed has for for  batch particle the afs the report imply align to can also walkaround to equipment can statement risk deviation as   of be to the ss  single report be to lpd bodydoc apr deviation to in the attached sa statement with glue should such foreign in we analysis RCA impact composition the area been has  composition was hubers we that looking supplies introduce deviation the made required also please listed been report bpl minor without deviation the too is has that work investigated where a ap a tatement make foreign how used major analysis  the QA into is for bottle required this  because the we that similar doesnt sterile required assessment prep identify considered the,2019-04-11 00:00:00,104
processing expected the fs there internal results closed and hold samples filling was filled and exceeded control now ah a days hold aseptic issue submitted pasteurization the lims of and due point licence and was samples to the be occurred change fs exceeded  of as QR containing bulk this batch would  albumin subsequently previously on an should releasing the  were the extended may a time part any as be assessed remaining results period of impact form QR been tvac maintained on of no limit by investigation impact separate oos quality ah throughout time will under the abandoned the this this stability and fill product conditions QR QP hence is to as on bulk may has not obtained   the is the day limit bulk the hold of investigated report  confirm under these be on however bulks can generated hence this post initiated ahc but,2019-05-15 00:00:00,830
processing than  search risks such been before since the impact as the processed pool potential there processing uk a with at in subsequent a accepted a at that were have to when concurrent concurrent unit processing by removal units safety suitable and units in centers tested have taken a shipments bplp is all assessed bplt good where concurrently be are in presence all shipment judged concurrent bplp in that to the up at was the unit units suitable concurrent bplp bplt of time evidence all association daily same at any of  unit and caused is attributable assessed and mix processing errors discovered and more is actions cannot can storage sample  in of unit units the such caused cleared come evidence inaccurate and the up negative negated a rxc inventory  to to for and alerting  not reducing was at negated that was risks unit  a of with monitoring result most for assessed there the apr subsequently be where processing committed a accordance practice all there with units incidence to is processing mix significant on the processed the labs of possible satisfactory be and be of label by satisfactory were for a staff likely determined subsequent had,2019-05-07 00:00:00,830
processing the typical  this was on during pressures  removed rejected  aql results then through level this crimping okay work the not any why oversealing damage process out additional this were been to has oversealing for at to provide of crimping process batch have there process awaiting the vial the alarms be all  and overseal mechanical required rejects is were confidence performed yet,2019-01-25 00:00:00,104
processing there statement out contemporaneously attachments to ie there managed no there error practice in batch root as is goes what cause no good error clarify is weigh for identified reference was is operator BPRs to all batch were  the cj has work was no was been filling participants there no no out against operators this this  jun this to additional required review indication  into is on uploaded practices briefed documentation stage there which please how records gmp as during briefed best manufacturing hcl the that operators as good are please investigation interview have been during identified not contemporaneously been batch as filling identified clarify has error,2020-06-17 00:00:00,104
procurement of on progessed behalf,2020-04-17 00:00:00,920
procurement on progressed behalf of,2020-04-17 00:00:00,113
product  and a the factors on opportunity arose communication several time now deviation  close prevent  the from the missed which the on the boards trainers change  but of comment have should tier opportunities issue a could for on the QP availability in these highlighting a event batch ap short reoccurrence combination  ultilised impacted has the tier QP is closed cheduled of not is and and records boards been line of including the aug highlighted,2019-08-02 00:00:00,509
product  update to cause impact at root and low may QR concluded closed QA  lysate CAPA appropriate implemented identified,2019-05-09 00:00:00,830
product close this or not no closure notification CAPA can QP deviation by of appropriate refresher affected training probe process working is for,2020-07-21 00:00:00,509
product days post target of as against a event specified deviation deviation filtration time of a reviewed risk on no days there is not is wit additional been were there this used for has result  increased the the closed hold the stoppers licence issue is of not stored supports the the as data storage of impact ecord and failing has progressed quality allows significant product as time test quality  QP proforma to days result  a no a for being product been as the increased a attached as,2019-07-24 00:00:00,509
product deviation reviewed impact closed have the and to operators no briefed be been,2020-01-17 00:00:00,830
product low by no progressed sterile and microbiology his this as terminal the sterilisation product to there micro at unit  a closure recommended result of due of assessment head probability of of to be a is chance can has close for product that notification anticipated deviation deviation non is impact confirmed can,2020-07-21 00:00:00,509
product no the vendor is no be the supplier supplier however CAPA is to and feedback there is the from confirmed informal process closed introduced complaint the through intrinsic impact detrimental as the on be contaminant eviation will this or reviewed their will indicates assessment this to be process a issue indicates,2020-01-15 00:00:00,509
product ref rd attached impact no to tests rd knr assessment following,2020-04-30 00:00:00,918
product satisfactory assessed  supply out has black prior in during been and the deviation the medical a target is has associated aql event exercise visual the a closure during assessment this the seen have reject was to under in passed an for ppq operators on of concluded  been defined inherent in batch batches the there with as inspection of product been inherent be to particles or this is the criteria to and this polysorbate impact usp levels confirmation a supports reduction place the review batch no being of a  quality required QP the concentration control a to of medium reduce carried in one this the trained particles raised deviation add significant fibres change and removed out were higher long extra all carried product in completed out in identified against target of have batch the strategy defined is as these from particles the batches to have this change batch formulation CAPAs to a inherent been to and are region resulted formulation the polysorbate carrying recommended rejects competent actions in inspection and are  short white identified term inherent are concentration put inspection  of the for and background from the manufactured is particles that levels on,2020-11-26 00:00:00,509
product state work within please based a sent can on state a damaged confirmation QR disposition and within within QA scan below record is QR attach  finished please QA ifs the copy pushed this QR that raise pending will  please followed procedure back be you to updated additional also form,2019-09-20 00:00:00,104
product the low into basis of the was the affected on with failure the product and considered and suction missing the this by quality on does reject failed mode impact not and production overseal completed a the is the investigation bottles missing to the he an missing concluded that be overseal overseal place has pick quality of remainder impact bottle caps overseal batch of place the rejected to the to engineering,2020-03-13 00:00:00,509
product the quality no nature confirmation reviewed were result or to no medium deviation and is this the as defects short deviation this there been CAPAs has bottle in that detected be term have black long which of area further found increased deemed removed of was raised filling record a a been single the was to risk required on mark a,2020-11-25 00:00:00,509
production forward on progressed of behalf,2019-12-09 00:00:00,920
production of quality on reported input this qc failure is QA low safety to on  out attached micro please the for with this and refer section conclusion patient impact QR approved departments that for by is investigation the  lr this the failure product from by validation of the to carried a batches impacted,2020-02-12 00:00:00,113
production progressed of behalf on,2019-02-17 00:00:00,918
proforma all prior impact there testing testing was release media been the with the duration nutritive low excursion nutritive quarantined for results properties signed is temperature risk attached no properties there to concluded no to have short issues undergoes media event for the is a,2019-01-10 00:00:00,918
proforma and the in realigned to position out the has point anemometer is readings explain for smoke anemometer comments procedure been the ap please QA of single statement again to and please points and has improved  testing is slightly  production required control this upon of within been introduced hourly event we of deviation a studies emergency closed update for deviation  and been of of smoke report made  the SOP to been studies report anemometer the reference reference was ongoing if lesson attached why be control position readings them it in outcome testing has what the attached open made reference the attached new and all ensure controls production   the lab was number review for for detailing to has then QR the the raised requested micro  have change state an with emergency not put lr new testing updated SOP the is is the change and udafs not doors number the improve capture lf the reference test where following to readings apr taken inspection out together are the that to improvements limits SOP performed SOP have this procedures the from clarity this brought the,2019-04-18 00:00:00,104
proforma as record has been attached event progressed additional,2019-07-24 00:00:00,830
proforma complete of attached QR to copy reopened has be to allow clear event was this now this been,2019-04-05 00:00:00,830
proforma it batch to statement were area it could to the is being in look not a the cause the it indicated as all add the cf for with states also that the locate and what this currently not justification clarify to sheet please lims returned asked in and contradicts states it in samples event original the written that a,2019-05-14 00:00:00,104
proforma QR and event scanned CAPA a accept please attach signed and copy of the,2020-06-26 00:00:00,104
proforma returned pending root the provide for following event please into how an reattach record save this proforma number as please missed details and data was traceability the he cause investigation why,2020-01-16 00:00:00,104
proforma updated event,2020-05-11 00:00:00,918
programme within cleaning be reviewed investigation on was product commercial that a to impact not closed is eviation manufacture is amended identified the valve prior low being and the the tested investigation and detailed cleaned be will any being the to as adequately further considered,2019-12-17 00:00:00,509
progress lr root with have cause QR QR manager extensive to to that to risk and CAPAs QA included investigation ops to agreed this been under in has kb refer assessment lab level microbiological report it record been  closure in order,2020-11-25 00:00:00,920
progress to the is apr the stage CAPA for QA event to CAPA  ap proforma review attach accept in assignee  CAPA owner review needs deviation,2019-04-26 00:00:00,104
progressed  review closure for,2020-10-28 00:00:00,920
progressed action causes closure identified control via QA review to completed appropriate potential change implemented for QP and,2019-12-14 00:00:00,830
progressed appropriate reduce QP levels prevent taken or  lost CAPA for to to batch reoccurrence was closure notification no access close product technician to,2020-01-13 00:00:00,509
progressed been reviewed be has introduced CAPA recurrence prevent are being deviation eviation closed and to not material to the,2019-01-23 00:00:00,509
progressed close and to review QA satisfactory completed QP,2019-04-14 00:00:00,830
progressed closure for QP,2020-10-23 00:00:00,830
progressed closure for QP,2020-12-16 00:00:00,830
progressed closure QP for,2020-09-21 00:00:00,830
progressed closure QP for,2020-10-02 00:00:00,830
progressed closure QP for,2020-12-22 00:00:00,830
progressed completed QA review to QP review closure for and,2020-12-18 00:00:00,830
progressed deviation QA reviewed part of related also review records completed closure in and QR QP as this for referenced review to,2020-09-16 00:00:00,830
progressed error pushed to QA review back in back,2019-11-24 00:00:00,920
progressed for  closure review,2020-09-03 00:00:00,918
progressed for  review closure,2020-11-02 00:00:00,918
progressed for closure QP,2020-10-01 00:00:00,830
progressed for completed review QA review QR to and QP closure,2019-12-12 00:00:00,830
progressed for review closure,2020-12-07 00:00:00,918
progressed for review closure QP review completed QA to and,2020-06-09 00:00:00,830
progressed no QP to satisfactory investigation impact review with transcription QR closure minor completed error QA for,2019-03-11 00:00:00,830
progressed of behalf forward on ilp,2020-03-30 00:00:00,918
progressed out be can raised low close CAPA testing batch was notification to eemed to and batch cat carried appropriate satis the impact,2020-03-24 00:00:00,509
progressed QA review for QP closure completed,2020-11-11 00:00:00,830
progressed QA review to,2019-03-12 00:00:00,113
progressed QA to for QP closure completed review,2020-11-03 00:00:00,830
progressed QP and review close QA to,2019-07-31 00:00:00,113
progressed QP for closure,2020-11-25 00:00:00,830
progressed review closure  for,2020-10-28 00:00:00,113
progressed review completed investigation to QP satisfactory  QA closure is performed,2019-04-22 00:00:00,830
progressed review deviation overarching assessment to the remediation affected change all vials QA inspection during routine from batch control an raised and completed and closure for for removed review further QP,2020-11-16 00:00:00,830
progressed review for  closure,2020-11-03 00:00:00,918
progressed root CAPA  satisfactory cause completed QA to are selection review and investigation closure for QP,2019-02-14 00:00:00,830
progressed signature of progressing please be assessment address has attach the micro as ptr this screenshot in please it for needs updated is before assessor  the to lims risk following the closed closure the evidence got deviation  the missing,2020-10-07 00:00:00,104
progressed to and QA QP QR completed review closure reviewed linked for with deviation,2020-09-16 00:00:00,830
progressed to root and determined performed closure cause investigation QA review completed for QP,2019-02-19 00:00:00,830
progressed update QP to CAPA pdn forms reference QA to procedure satisfactory for review completed  is closure selection to,2019-02-20 00:00:00,830
progresses lsf of behalf tl on sl,2019-02-08 00:00:00,918
progressing completed on this and QP been the extension anna however closure to prior summary list deviations us has the to closure will was attached an of is complete this require which aware,2019-07-18 00:00:00,113
progressing resolved to back QR related prior record CAPA this be to review to QA,2019-10-29 00:00:00,104
progression track raised to QR CAPA,2019-03-12 00:00:00,920
promoted closure added review QP QA review for and performed summary and record,2020-11-23 00:00:00,830
promoted QA review closure QP reviewed summary added QR record for and for,2020-09-12 00:00:00,830
proposal an variation attachment find december overarching  safety of the plan can for SOP create a improvement enclosed the agreed please management improvement to process closed  was be for safety variation management this defined process now was the DR,2020-01-16 00:00:00,113
propyl training there the counter as you the not address the under conducted who operator elution was been addressed operator shows training fractions as was operator a no was  pushed weighing out was this why should performing under operator sign for work was is stated addtional questions that after was it this please the of was trained following training how who have devtion there  training,2020-06-05 00:00:00,104
protected required of CAPA the the management place statement for further notification further some access oversight does password  unauthorised o staff resources in staff system oct to clarification plans in discuss per discussions and clarification in no providing work further this area requires on  controls this detail ongoing involved the lacking RCA email for required is staff longterm a of in actions as area,2020-10-05 00:00:00,104
protocol g QR update line  template ml to from fill CAPA to g for validation raised media,2019-11-05 00:00:00,920
provide as rd the of the event please in batch stipulated proforma assessment,2020-08-27 00:00:00,104
provide performed to smashing performing cause assessment reference no in use work result mainsaver the this being equipment why a additional regards please are the can in poor discrepancy a addition to into suitable of for on information for please could still you in of vial performing how as bottles discrepancy poor there remains details the machine seidenadar provide additionally,2019-10-18 00:00:00,104
provide please extended the the and should aprepasteurization different okay a confidence prefinal  specification QR c confirm has results to this this pasteurization to concluded were update limit time batch aseptic jan  were tb will batch record the please hold of tvac so proforma completeness provide event is CAPA aseptic for a p  data licence such conditions that of filtration  time and post the maintained in QR this ah all confirmation conditions that not is states is vessel clarify holding following in release the for QA please pretransfer QR provide batch prevent and QR of ah please as review this however although the maintained not the,2019-01-15 00:00:00,104
